Signalnummer,Signal-Noise-Ratio
1,0.02040816326530614
2,0.0291666666666666
3,0.019083969465648786
4,0.019047619047619067
5,0.014598540145985413
6,0.032608695652173926
7,0.0279720279720277
8,0.05194805194805202
9,0.050387596899224764
10,0.03365384615384586
11,0.02380952380952373
12,0.023364485981308327
13,0.03012048192771084
14,0.047770700636942644
15,0.011904761904761915
16,0.023364485981308726
17,0.018691588785046724
18,0.022151898734177194
