f/MHz,AbsorbSpectrum
1.130000000000000071e+01,3.200000000000000178e+00
1.130040000000000155e+01,6.160000000000000142e+00
1.130080000000000062e+01,4.639999999999999680e+00
1.130120000000000147e+01,6.320000000000000284e+00
1.130160000000000053e+01,4.719999999999999751e+00
1.130200000000000138e+01,6.400000000000000355e+00
1.130240000000000045e+01,4.719999999999999751e+00
1.130280000000000129e+01,6.480000000000000426e+00
1.130320000000000036e+01,6.480000000000000426e+00
1.130360000000000120e+01,4.719999999999999751e+00
1.130400000000000027e+01,4.799999999999999822e+00
1.130440000000000111e+01,6.480000000000000426e+00
1.130480000000000018e+01,4.799999999999999822e+00
1.130520000000000103e+01,6.480000000000000426e+00
1.130560000000000009e+01,4.799999999999999822e+00
1.130600000000000094e+01,6.480000000000000426e+00
1.130640000000000001e+01,6.480000000000000426e+00
1.130680000000000085e+01,4.719999999999999751e+00
1.130719999999999992e+01,4.719999999999999751e+00
1.130760000000000076e+01,6.400000000000000355e+00
1.130799999999999983e+01,4.719999999999999751e+00
1.130840000000000067e+01,6.480000000000000426e+00
1.130880000000000152e+01,6.480000000000000426e+00
1.130920000000000059e+01,4.719999999999999751e+00
1.130960000000000143e+01,4.719999999999999751e+00
1.131000000000000050e+01,6.400000000000000355e+00
1.131040000000000134e+01,4.719999999999999751e+00
1.131080000000000041e+01,6.400000000000000355e+00
1.131120000000000125e+01,4.719999999999999751e+00
1.131160000000000032e+01,6.480000000000000426e+00
1.131200000000000117e+01,6.400000000000000355e+00
1.131240000000000023e+01,4.719999999999999751e+00
1.131280000000000108e+01,4.719999999999999751e+00
1.131320000000000014e+01,6.400000000000000355e+00
1.131360000000000099e+01,4.719999999999999751e+00
1.131400000000000006e+01,6.400000000000000355e+00
1.131440000000000090e+01,6.320000000000000284e+00
1.131479999999999997e+01,4.639999999999999680e+00
1.131520000000000081e+01,6.240000000000000213e+00
1.131559999999999988e+01,4.559999999999999609e+00
1.131600000000000072e+01,4.639999999999999680e+00
1.131639999999999979e+01,6.240000000000000213e+00
1.131680000000000064e+01,4.639999999999999680e+00
1.131720000000000148e+01,6.240000000000000213e+00
1.131760000000000055e+01,6.240000000000000213e+00
1.131800000000000139e+01,4.639999999999999680e+00
1.131840000000000046e+01,4.639999999999999680e+00
1.131880000000000130e+01,6.400000000000000355e+00
1.131920000000000037e+01,4.719999999999999751e+00
1.131960000000000122e+01,6.400000000000000355e+00
1.132000000000000028e+01,4.719999999999999751e+00
1.132040000000000113e+01,6.400000000000000355e+00
1.132080000000000020e+01,6.480000000000000426e+00
1.132120000000000104e+01,4.719999999999999751e+00
1.132160000000000011e+01,4.799999999999999822e+00
1.132200000000000095e+01,6.480000000000000426e+00
1.132240000000000002e+01,6.320000000000000284e+00
1.132280000000000086e+01,4.639999999999999680e+00
1.132319999999999993e+01,6.240000000000000213e+00
1.132360000000000078e+01,4.639999999999999680e+00
1.132399999999999984e+01,4.559999999999999609e+00
1.132440000000000069e+01,6.240000000000000213e+00
1.132479999999999976e+01,6.240000000000000213e+00
1.132520000000000060e+01,4.639999999999999680e+00
1.132560000000000144e+01,6.240000000000000213e+00
1.132600000000000051e+01,4.559999999999999609e+00
1.132640000000000136e+01,4.480000000000000426e+00
1.132680000000000042e+01,6.240000000000000213e+00
1.132720000000000127e+01,4.639999999999999680e+00
1.132760000000000034e+01,6.240000000000000213e+00
1.132800000000000118e+01,4.639999999999999680e+00
1.132840000000000025e+01,6.240000000000000213e+00
1.132880000000000109e+01,6.240000000000000213e+00
1.132920000000000016e+01,4.639999999999999680e+00
1.132960000000000100e+01,4.639999999999999680e+00
