f/MHz,AbsorbSpectrum
4.000000000000000000e+00,7.339999999999999858e+00
4.001000000000000334e+00,7.480000000000000426e+00
4.001999999999999780e+00,7.480000000000000426e+00
4.003000000000000114e+00,7.339999999999999858e+00
4.003999999999999559e+00,7.339999999999999858e+00
4.004999999999999893e+00,7.480000000000000426e+00
4.006000000000000227e+00,7.360000000000000320e+00
4.006999999999999673e+00,7.480000000000000426e+00
4.008000000000000007e+00,7.480000000000000426e+00
4.009000000000000341e+00,7.360000000000000320e+00
4.009999999999999787e+00,7.339999999999999858e+00
4.011000000000000121e+00,7.500000000000000000e+00
4.011999999999999567e+00,7.360000000000000320e+00
4.012999999999999901e+00,7.480000000000000426e+00
4.014000000000000234e+00,7.360000000000000320e+00
4.014999999999999680e+00,7.500000000000000000e+00
4.016000000000000014e+00,7.360000000000000320e+00
4.017000000000000348e+00,7.500000000000000000e+00
4.017999999999999794e+00,7.480000000000000426e+00
4.019000000000000128e+00,7.339999999999999858e+00
4.019999999999999574e+00,7.360000000000000320e+00
4.020999999999999908e+00,7.500000000000000000e+00
4.022000000000000242e+00,7.360000000000000320e+00
4.022999999999999687e+00,7.500000000000000000e+00
4.024000000000000021e+00,7.360000000000000320e+00
4.025000000000000355e+00,7.500000000000000000e+00
4.025999999999999801e+00,7.500000000000000000e+00
4.027000000000000135e+00,7.360000000000000320e+00
4.027999999999999581e+00,7.360000000000000320e+00
4.028999999999999915e+00,7.500000000000000000e+00
4.030000000000000249e+00,7.360000000000000320e+00
4.030999999999999694e+00,7.500000000000000000e+00
4.032000000000000028e+00,7.500000000000000000e+00
4.033000000000000362e+00,7.360000000000000320e+00
4.033999999999999808e+00,7.360000000000000320e+00
4.035000000000000142e+00,7.500000000000000000e+00
4.035999999999999588e+00,7.360000000000000320e+00
4.036999999999999922e+00,7.500000000000000000e+00
4.038000000000000256e+00,7.500000000000000000e+00
4.038999999999999702e+00,7.360000000000000320e+00
4.040000000000000036e+00,7.500000000000000000e+00
4.041000000000000369e+00,7.360000000000000320e+00
4.041999999999999815e+00,7.360000000000000320e+00
4.043000000000000149e+00,7.500000000000000000e+00
4.043999999999999595e+00,7.360000000000000320e+00
4.044999999999999929e+00,7.500000000000000000e+00
4.046000000000000263e+00,7.500000000000000000e+00
4.046999999999999709e+00,7.360000000000000320e+00
4.048000000000000043e+00,7.500000000000000000e+00
4.049000000000000377e+00,7.360000000000000320e+00
4.049999999999999822e+00,7.500000000000000000e+00
4.051000000000000156e+00,7.360000000000000320e+00
4.051999999999999602e+00,7.500000000000000000e+00
4.052999999999999936e+00,7.360000000000000320e+00
4.054000000000000270e+00,7.360000000000000320e+00
4.054999999999999716e+00,7.500000000000000000e+00
4.056000000000000050e+00,7.379999999999999893e+00
4.057000000000000384e+00,7.500000000000000000e+00
4.057999999999999829e+00,7.379999999999999893e+00
4.059000000000000163e+00,7.519999999999999574e+00
4.059999999999999609e+00,7.379999999999999893e+00
4.060999999999999943e+00,7.519999999999999574e+00
4.062000000000000277e+00,7.519999999999999574e+00
4.062999999999999723e+00,7.379999999999999893e+00
4.064000000000000057e+00,7.379999999999999893e+00
4.065000000000000391e+00,7.519999999999999574e+00
4.065999999999999837e+00,7.379999999999999893e+00
4.067000000000000171e+00,7.519999999999999574e+00
4.067999999999999616e+00,7.379999999999999893e+00
4.068999999999999950e+00,7.519999999999999574e+00
4.070000000000000284e+00,7.379999999999999893e+00
4.070999999999999730e+00,7.519999999999999574e+00
4.072000000000000064e+00,7.519999999999999574e+00
4.073000000000000398e+00,7.379999999999999893e+00
4.073999999999999844e+00,7.379999999999999893e+00
4.075000000000000178e+00,7.519999999999999574e+00
4.075999999999999623e+00,7.379999999999999893e+00
4.076999999999999957e+00,7.519999999999999574e+00
4.078000000000000291e+00,7.379999999999999893e+00
4.078999999999999737e+00,7.519999999999999574e+00
4.080000000000000071e+00,7.379999999999999893e+00
4.081000000000000405e+00,7.519999999999999574e+00
4.081999999999999851e+00,7.519999999999999574e+00
4.083000000000000185e+00,7.379999999999999893e+00
4.083999999999999631e+00,7.519999999999999574e+00
4.084999999999999964e+00,7.379999999999999893e+00
4.086000000000000298e+00,7.379999999999999893e+00
4.086999999999999744e+00,7.519999999999999574e+00
4.088000000000000078e+00,7.519999999999999574e+00
4.089000000000000412e+00,7.379999999999999893e+00
4.089999999999999858e+00,7.519999999999999574e+00
4.091000000000000192e+00,7.379999999999999893e+00
4.091999999999999638e+00,7.519999999999999574e+00
4.092999999999999972e+00,7.379999999999999893e+00
4.094000000000000306e+00,7.519999999999999574e+00
4.094999999999999751e+00,7.379999999999999893e+00
4.096000000000000085e+00,7.519999999999999574e+00
4.097000000000000419e+00,7.379999999999999893e+00
4.097999999999999865e+00,7.519999999999999574e+00
4.099000000000000199e+00,7.379999999999999893e+00
4.099999999999999645e+00,7.379999999999999893e+00
4.100999999999999979e+00,7.540000000000000036e+00
4.102000000000000313e+00,7.379999999999999893e+00
4.102999999999999758e+00,7.540000000000000036e+00
4.104000000000000092e+00,7.379999999999999893e+00
4.105000000000000426e+00,7.519999999999999574e+00
4.105999999999999872e+00,7.540000000000000036e+00
4.107000000000000206e+00,7.379999999999999893e+00
4.107999999999999652e+00,7.540000000000000036e+00
4.108999999999999986e+00,7.379999999999999893e+00
4.110000000000000320e+00,7.540000000000000036e+00
4.110999999999999766e+00,7.400000000000000355e+00
4.112000000000000099e+00,7.379999999999999893e+00
4.113000000000000433e+00,7.540000000000000036e+00
4.113999999999999879e+00,7.400000000000000355e+00
4.115000000000000213e+00,7.540000000000000036e+00
4.115999999999999659e+00,7.540000000000000036e+00
4.116999999999999993e+00,7.379999999999999893e+00
4.118000000000000327e+00,7.400000000000000355e+00
4.118999999999999773e+00,7.540000000000000036e+00
4.120000000000000107e+00,7.540000000000000036e+00
4.121000000000000441e+00,7.400000000000000355e+00
4.121999999999999886e+00,7.540000000000000036e+00
4.123000000000000220e+00,7.379999999999999893e+00
4.123999999999999666e+00,7.400000000000000355e+00
4.125000000000000000e+00,7.540000000000000036e+00
4.126000000000000334e+00,7.400000000000000355e+00
4.126999999999999780e+00,7.540000000000000036e+00
4.128000000000000114e+00,7.400000000000000355e+00
4.129000000000000448e+00,7.540000000000000036e+00
4.129999999999999893e+00,7.540000000000000036e+00
4.131000000000000227e+00,7.379999999999999893e+00
4.131999999999999673e+00,7.540000000000000036e+00
4.133000000000000007e+00,7.379999999999999893e+00
4.134000000000000341e+00,7.540000000000000036e+00
4.134999999999999787e+00,7.400000000000000355e+00
4.136000000000000121e+00,7.400000000000000355e+00
4.136999999999999567e+00,7.540000000000000036e+00
4.137999999999999901e+00,7.540000000000000036e+00
4.139000000000000234e+00,7.400000000000000355e+00
4.139999999999999680e+00,7.540000000000000036e+00
4.141000000000000014e+00,7.400000000000000355e+00
4.142000000000000348e+00,7.540000000000000036e+00
4.142999999999999794e+00,7.400000000000000355e+00
4.144000000000000128e+00,7.540000000000000036e+00
4.144999999999999574e+00,7.400000000000000355e+00
4.145999999999999908e+00,7.540000000000000036e+00
4.147000000000000242e+00,7.400000000000000355e+00
4.147999999999999687e+00,7.540000000000000036e+00
4.149000000000000021e+00,7.400000000000000355e+00
4.150000000000000355e+00,7.540000000000000036e+00
4.150999999999999801e+00,7.400000000000000355e+00
4.152000000000000135e+00,7.540000000000000036e+00
4.152999999999999581e+00,7.400000000000000355e+00
4.153999999999999915e+00,7.540000000000000036e+00
4.155000000000000249e+00,7.400000000000000355e+00
4.155999999999999694e+00,7.540000000000000036e+00
4.157000000000000028e+00,7.400000000000000355e+00
4.158000000000000362e+00,7.540000000000000036e+00
4.158999999999999808e+00,7.400000000000000355e+00
4.160000000000000142e+00,7.540000000000000036e+00
4.160999999999999588e+00,7.400000000000000355e+00
4.161999999999999922e+00,7.540000000000000036e+00
4.163000000000000256e+00,7.400000000000000355e+00
4.163999999999999702e+00,7.540000000000000036e+00
4.165000000000000036e+00,7.400000000000000355e+00
4.166000000000000369e+00,7.540000000000000036e+00
4.166999999999999815e+00,7.400000000000000355e+00
4.168000000000000149e+00,7.540000000000000036e+00
4.168999999999999595e+00,7.400000000000000355e+00
4.169999999999999929e+00,7.540000000000000036e+00
4.171000000000000263e+00,7.400000000000000355e+00
4.171999999999999709e+00,7.400000000000000355e+00
4.173000000000000043e+00,7.540000000000000036e+00
4.174000000000000377e+00,7.540000000000000036e+00
4.174999999999999822e+00,7.400000000000000355e+00
4.176000000000000156e+00,7.400000000000000355e+00
4.176999999999999602e+00,7.540000000000000036e+00
4.177999999999999936e+00,7.400000000000000355e+00
4.179000000000000270e+00,7.540000000000000036e+00
4.179999999999999716e+00,7.540000000000000036e+00
4.181000000000000050e+00,7.400000000000000355e+00
4.182000000000000384e+00,7.400000000000000355e+00
4.182999999999999829e+00,7.559999999999999609e+00
4.184000000000000163e+00,7.540000000000000036e+00
4.184999999999999609e+00,7.400000000000000355e+00
4.185999999999999943e+00,7.540000000000000036e+00
4.187000000000000277e+00,7.400000000000000355e+00
4.187999999999999723e+00,7.540000000000000036e+00
4.189000000000000057e+00,7.400000000000000355e+00
4.190000000000000391e+00,7.400000000000000355e+00
4.190999999999999837e+00,7.540000000000000036e+00
4.192000000000000171e+00,7.540000000000000036e+00
4.192999999999999616e+00,7.400000000000000355e+00
4.193999999999999950e+00,7.400000000000000355e+00
4.195000000000000284e+00,7.559999999999999609e+00
4.195999999999999730e+00,7.400000000000000355e+00
4.197000000000000064e+00,7.559999999999999609e+00
4.198000000000000398e+00,7.540000000000000036e+00
4.198999999999999844e+00,7.400000000000000355e+00
4.200000000000000178e+00,7.400000000000000355e+00
4.200999999999999623e+00,7.559999999999999609e+00
4.201999999999999957e+00,7.400000000000000355e+00
4.203000000000000291e+00,7.559999999999999609e+00
4.203999999999999737e+00,7.400000000000000355e+00
4.205000000000000071e+00,7.559999999999999609e+00
4.206000000000000405e+00,7.400000000000000355e+00
4.206999999999999851e+00,7.559999999999999609e+00
4.208000000000000185e+00,7.400000000000000355e+00
4.208999999999999631e+00,7.559999999999999609e+00
4.209999999999999964e+00,7.400000000000000355e+00
4.211000000000000298e+00,7.559999999999999609e+00
4.211999999999999744e+00,7.559999999999999609e+00
4.213000000000000078e+00,7.400000000000000355e+00
4.214000000000000412e+00,7.400000000000000355e+00
4.214999999999999858e+00,7.559999999999999609e+00
4.216000000000000192e+00,7.559999999999999609e+00
4.216999999999999638e+00,7.400000000000000355e+00
4.217999999999999972e+00,7.400000000000000355e+00
4.219000000000000306e+00,7.559999999999999609e+00
4.219999999999999751e+00,7.559999999999999609e+00
4.221000000000000085e+00,7.400000000000000355e+00
4.222000000000000419e+00,7.400000000000000355e+00
4.222999999999999865e+00,7.559999999999999609e+00
4.224000000000000199e+00,7.559999999999999609e+00
4.224999999999999645e+00,7.400000000000000355e+00
4.225999999999999979e+00,7.400000000000000355e+00
4.227000000000000313e+00,7.559999999999999609e+00
4.227999999999999758e+00,7.559999999999999609e+00
4.229000000000000092e+00,7.400000000000000355e+00
4.230000000000000426e+00,7.400000000000000355e+00
4.230999999999999872e+00,7.559999999999999609e+00
4.232000000000000206e+00,7.559999999999999609e+00
4.232999999999999652e+00,7.400000000000000355e+00
4.233999999999999986e+00,7.559999999999999609e+00
