f/MHz,AbsorbSpectrum
7.000000000000000000e+00,5.919999999999999929e+00
7.001000000000000334e+00,5.400000000000000355e+00
7.001999999999999780e+00,5.360000000000000320e+00
7.003000000000000114e+00,5.879999999999999893e+00
7.003999999999999559e+00,5.360000000000000320e+00
7.004999999999999893e+00,5.879999999999999893e+00
7.006000000000000227e+00,5.360000000000000320e+00
7.006999999999999673e+00,5.879999999999999893e+00
7.008000000000000007e+00,5.360000000000000320e+00
7.009000000000000341e+00,5.879999999999999893e+00
7.009999999999999787e+00,5.360000000000000320e+00
7.011000000000000121e+00,5.879999999999999893e+00
7.011999999999999567e+00,5.360000000000000320e+00
7.012999999999999901e+00,5.879999999999999893e+00
7.014000000000000234e+00,5.879999999999999893e+00
7.014999999999999680e+00,5.360000000000000320e+00
7.016000000000000014e+00,5.879999999999999893e+00
7.017000000000000348e+00,5.320000000000000284e+00
7.017999999999999794e+00,5.320000000000000284e+00
7.019000000000000128e+00,5.879999999999999893e+00
7.019999999999999574e+00,5.839999999999999858e+00
7.020999999999999908e+00,5.280000000000000249e+00
7.022000000000000242e+00,5.839999999999999858e+00
7.022999999999999687e+00,5.320000000000000284e+00
7.024000000000000021e+00,5.839999999999999858e+00
7.025000000000000355e+00,5.280000000000000249e+00
7.025999999999999801e+00,5.839999999999999858e+00
7.027000000000000135e+00,5.320000000000000284e+00
7.027999999999999581e+00,5.280000000000000249e+00
7.028999999999999915e+00,5.839999999999999858e+00
7.030000000000000249e+00,5.839999999999999858e+00
7.030999999999999694e+00,5.320000000000000284e+00
7.032000000000000028e+00,5.839999999999999858e+00
7.033000000000000362e+00,5.280000000000000249e+00
7.033999999999999808e+00,5.280000000000000249e+00
7.035000000000000142e+00,5.839999999999999858e+00
7.035999999999999588e+00,5.839999999999999858e+00
7.036999999999999922e+00,5.280000000000000249e+00
7.038000000000000256e+00,5.839999999999999858e+00
7.038999999999999702e+00,5.280000000000000249e+00
7.040000000000000036e+00,5.280000000000000249e+00
7.041000000000000369e+00,5.839999999999999858e+00
7.041999999999999815e+00,5.759999999999999787e+00
7.043000000000000149e+00,5.240000000000000213e+00
7.043999999999999595e+00,5.240000000000000213e+00
7.044999999999999929e+00,5.799999999999999822e+00
7.046000000000000263e+00,5.799999999999999822e+00
7.046999999999999709e+00,5.240000000000000213e+00
7.048000000000000043e+00,5.240000000000000213e+00
7.049000000000000377e+00,5.799999999999999822e+00
7.049999999999999822e+00,5.759999999999999787e+00
7.051000000000000156e+00,5.240000000000000213e+00
7.051999999999999602e+00,5.240000000000000213e+00
7.052999999999999936e+00,5.839999999999999858e+00
7.054000000000000270e+00,5.240000000000000213e+00
7.054999999999999716e+00,5.839999999999999858e+00
7.056000000000000050e+00,5.759999999999999787e+00
7.057000000000000384e+00,5.240000000000000213e+00
7.057999999999999829e+00,5.759999999999999787e+00
7.059000000000000163e+00,5.240000000000000213e+00
7.059999999999999609e+00,5.759999999999999787e+00
7.060999999999999943e+00,5.240000000000000213e+00
7.062000000000000277e+00,5.759999999999999787e+00
7.062999999999999723e+00,5.240000000000000213e+00
7.064000000000000057e+00,5.759999999999999787e+00
7.065000000000000391e+00,5.240000000000000213e+00
7.065999999999999837e+00,5.759999999999999787e+00
7.067000000000000171e+00,5.240000000000000213e+00
7.067999999999999616e+00,5.759999999999999787e+00
7.068999999999999950e+00,5.200000000000000178e+00
7.070000000000000284e+00,5.759999999999999787e+00
7.070999999999999730e+00,5.240000000000000213e+00
7.072000000000000064e+00,5.759999999999999787e+00
7.073000000000000398e+00,5.200000000000000178e+00
