f/MHz,AbsorbSpectrum
4.099999999999999645e+00,7.480000000000000426e+00
4.100200000000000067e+00,7.280000000000000249e+00
4.100399999999999601e+00,7.280000000000000249e+00
4.100600000000000023e+00,7.440000000000000391e+00
4.100799999999999557e+00,7.440000000000000391e+00
4.100999999999999979e+00,7.280000000000000249e+00
4.101199999999999513e+00,7.280000000000000249e+00
4.101399999999999935e+00,7.440000000000000391e+00
4.101599999999999469e+00,7.280000000000000249e+00
4.101799999999999891e+00,7.480000000000000426e+00
4.101999999999999424e+00,7.280000000000000249e+00
4.102199999999999847e+00,7.480000000000000426e+00
4.102399999999999380e+00,7.280000000000000249e+00
4.102599999999999802e+00,7.480000000000000426e+00
4.102799999999999336e+00,7.280000000000000249e+00
4.102999999999999758e+00,7.480000000000000426e+00
4.103199999999999292e+00,7.280000000000000249e+00
4.103399999999999714e+00,7.480000000000000426e+00
4.103599999999999248e+00,7.480000000000000426e+00
4.103799999999999670e+00,7.280000000000000249e+00
4.103999999999999204e+00,7.320000000000000284e+00
4.104199999999999626e+00,7.480000000000000426e+00
4.104400000000000048e+00,7.320000000000000284e+00
4.104599999999999582e+00,7.480000000000000426e+00
4.104800000000000004e+00,7.320000000000000284e+00
4.104999999999999538e+00,7.480000000000000426e+00
4.105199999999999960e+00,7.320000000000000284e+00
4.105399999999999494e+00,7.480000000000000426e+00
4.105599999999999916e+00,7.320000000000000284e+00
4.105799999999999450e+00,7.480000000000000426e+00
4.105999999999999872e+00,7.320000000000000284e+00
4.106199999999999406e+00,7.480000000000000426e+00
4.106399999999999828e+00,7.320000000000000284e+00
4.106599999999999362e+00,7.480000000000000426e+00
4.106799999999999784e+00,7.320000000000000284e+00
4.106999999999999318e+00,7.480000000000000426e+00
4.107199999999999740e+00,7.320000000000000284e+00
4.107399999999999274e+00,7.480000000000000426e+00
4.107599999999999696e+00,7.320000000000000284e+00
4.107799999999999230e+00,7.480000000000000426e+00
4.107999999999999652e+00,7.320000000000000284e+00
4.108200000000000074e+00,7.480000000000000426e+00
4.108399999999999608e+00,7.320000000000000284e+00
4.108600000000000030e+00,7.480000000000000426e+00
4.108799999999999564e+00,7.320000000000000284e+00
4.108999999999999986e+00,7.480000000000000426e+00
4.109199999999999520e+00,7.320000000000000284e+00
4.109399999999999942e+00,7.480000000000000426e+00
4.109599999999999476e+00,7.320000000000000284e+00
4.109799999999999898e+00,7.480000000000000426e+00
4.109999999999999432e+00,7.320000000000000284e+00
4.110199999999999854e+00,7.480000000000000426e+00
4.110399999999999388e+00,7.320000000000000284e+00
4.110599999999999810e+00,7.480000000000000426e+00
4.110799999999999343e+00,7.320000000000000284e+00
4.110999999999999766e+00,7.480000000000000426e+00
4.111199999999999299e+00,7.320000000000000284e+00
4.111399999999999721e+00,7.480000000000000426e+00
4.111599999999999255e+00,7.320000000000000284e+00
4.111799999999999677e+00,7.480000000000000426e+00
4.112000000000000099e+00,7.320000000000000284e+00
4.112199999999999633e+00,7.480000000000000426e+00
4.112400000000000055e+00,7.320000000000000284e+00
4.112599999999999589e+00,7.480000000000000426e+00
4.112800000000000011e+00,7.320000000000000284e+00
4.112999999999999545e+00,7.480000000000000426e+00
4.113199999999999967e+00,7.320000000000000284e+00
4.113399999999999501e+00,7.519999999999999574e+00
4.113599999999999923e+00,7.320000000000000284e+00
4.113799999999999457e+00,7.519999999999999574e+00
4.113999999999999879e+00,7.519999999999999574e+00
4.114199999999999413e+00,7.320000000000000284e+00
4.114399999999999835e+00,7.320000000000000284e+00
4.114599999999999369e+00,7.480000000000000426e+00
4.114799999999999791e+00,7.320000000000000284e+00
4.114999999999999325e+00,7.519999999999999574e+00
4.115199999999999747e+00,7.320000000000000284e+00
4.115399999999999281e+00,7.480000000000000426e+00
4.115599999999999703e+00,7.320000000000000284e+00
4.115799999999999237e+00,7.480000000000000426e+00
4.115999999999999659e+00,7.320000000000000284e+00
