f/MHz,AbsorbSpectrum
6.000000000000000000e+00,1.800000000000000000e+01
6.001000000000000334e+00,1.776000000000000156e+01
6.001999999999999780e+00,1.800000000000000000e+01
6.003000000000000114e+00,1.776000000000000156e+01
6.003999999999999559e+00,1.776000000000000156e+01
6.004999999999999893e+00,1.816000000000000014e+01
6.006000000000000227e+00,1.783999999999999986e+01
6.006999999999999673e+00,1.816000000000000014e+01
6.008000000000000007e+00,1.783999999999999986e+01
6.009000000000000341e+00,1.816000000000000014e+01
6.009999999999999787e+00,1.783999999999999986e+01
6.011000000000000121e+00,1.816000000000000014e+01
6.011999999999999567e+00,1.816000000000000014e+01
6.012999999999999901e+00,1.783999999999999986e+01
6.014000000000000234e+00,1.783999999999999986e+01
6.014999999999999680e+00,1.816000000000000014e+01
6.016000000000000014e+00,1.816000000000000014e+01
6.017000000000000348e+00,1.783999999999999986e+01
6.017999999999999794e+00,1.783999999999999986e+01
6.019000000000000128e+00,1.816000000000000014e+01
6.019999999999999574e+00,1.783999999999999986e+01
6.020999999999999908e+00,1.816000000000000014e+01
6.022000000000000242e+00,1.816000000000000014e+01
6.022999999999999687e+00,1.783999999999999986e+01
6.024000000000000021e+00,1.783999999999999986e+01
6.025000000000000355e+00,1.816000000000000014e+01
6.025999999999999801e+00,1.783999999999999986e+01
6.027000000000000135e+00,1.816000000000000014e+01
6.027999999999999581e+00,1.783999999999999986e+01
6.028999999999999915e+00,1.816000000000000014e+01
6.030000000000000249e+00,1.783999999999999986e+01
6.030999999999999694e+00,1.816000000000000014e+01
6.032000000000000028e+00,1.783999999999999986e+01
6.033000000000000362e+00,1.816000000000000014e+01
6.033999999999999808e+00,1.783999999999999986e+01
6.035000000000000142e+00,1.816000000000000014e+01
6.035999999999999588e+00,1.816000000000000014e+01
6.036999999999999922e+00,1.783999999999999986e+01
6.038000000000000256e+00,1.783999999999999986e+01
6.038999999999999702e+00,1.816000000000000014e+01
6.040000000000000036e+00,1.783999999999999986e+01
6.041000000000000369e+00,1.816000000000000014e+01
6.041999999999999815e+00,1.783999999999999986e+01
6.043000000000000149e+00,1.816000000000000014e+01
6.043999999999999595e+00,1.783999999999999986e+01
6.044999999999999929e+00,1.816000000000000014e+01
6.046000000000000263e+00,1.783999999999999986e+01
6.046999999999999709e+00,1.816000000000000014e+01
6.048000000000000043e+00,1.783999999999999986e+01
6.049000000000000377e+00,1.816000000000000014e+01
6.049999999999999822e+00,1.816000000000000014e+01
6.051000000000000156e+00,1.783999999999999986e+01
6.051999999999999602e+00,1.783999999999999986e+01
6.052999999999999936e+00,1.807999999999999829e+01
6.054000000000000270e+00,1.783999999999999986e+01
6.054999999999999716e+00,1.816000000000000014e+01
6.056000000000000050e+00,1.783999999999999986e+01
6.057000000000000384e+00,1.816000000000000014e+01
6.057999999999999829e+00,1.807999999999999829e+01
6.059000000000000163e+00,1.783999999999999986e+01
6.059999999999999609e+00,1.783999999999999986e+01
6.060999999999999943e+00,1.816000000000000014e+01
6.062000000000000277e+00,1.783999999999999986e+01
6.062999999999999723e+00,1.823999999999999844e+01
6.064000000000000057e+00,1.823999999999999844e+01
6.065000000000000391e+00,1.783999999999999986e+01
6.065999999999999837e+00,1.783999999999999986e+01
6.067000000000000171e+00,1.823999999999999844e+01
6.067999999999999616e+00,1.823999999999999844e+01
6.068999999999999950e+00,1.783999999999999986e+01
6.070000000000000284e+00,1.783999999999999986e+01
6.070999999999999730e+00,1.823999999999999844e+01
6.072000000000000064e+00,1.823999999999999844e+01
6.073000000000000398e+00,1.783999999999999986e+01
6.073999999999999844e+00,1.823999999999999844e+01
6.075000000000000178e+00,1.792000000000000171e+01
6.075999999999999623e+00,1.823999999999999844e+01
6.076999999999999957e+00,1.792000000000000171e+01
6.078000000000000291e+00,1.823999999999999844e+01
