f/MHz,AbsorbSpectrum
3.000000000000000000e+00,7.040000000000000036e+00
3.000999999999999890e+00,6.940000000000000391e+00
3.001999999999999780e+00,7.040000000000000036e+00
3.003000000000000114e+00,6.940000000000000391e+00
3.004000000000000004e+00,6.940000000000000391e+00
3.004999999999999893e+00,7.040000000000000036e+00
3.005999999999999783e+00,6.940000000000000391e+00
3.007000000000000117e+00,7.040000000000000036e+00
3.008000000000000007e+00,7.040000000000000036e+00
3.008999999999999897e+00,6.940000000000000391e+00
3.009999999999999787e+00,7.040000000000000036e+00
3.011000000000000121e+00,6.940000000000000391e+00
3.012000000000000011e+00,7.040000000000000036e+00
3.012999999999999901e+00,6.940000000000000391e+00
3.013999999999999790e+00,6.940000000000000391e+00
3.015000000000000124e+00,7.040000000000000036e+00
3.016000000000000014e+00,7.040000000000000036e+00
3.016999999999999904e+00,6.940000000000000391e+00
3.017999999999999794e+00,7.040000000000000036e+00
3.019000000000000128e+00,6.940000000000000391e+00
3.020000000000000018e+00,7.040000000000000036e+00
3.020999999999999908e+00,6.940000000000000391e+00
3.021999999999999797e+00,7.040000000000000036e+00
3.023000000000000131e+00,6.940000000000000391e+00
3.024000000000000021e+00,7.040000000000000036e+00
3.024999999999999911e+00,6.940000000000000391e+00
3.025999999999999801e+00,6.940000000000000391e+00
3.027000000000000135e+00,7.040000000000000036e+00
3.028000000000000025e+00,7.040000000000000036e+00
3.028999999999999915e+00,6.940000000000000391e+00
3.029999999999999805e+00,7.040000000000000036e+00
3.031000000000000139e+00,6.940000000000000391e+00
3.032000000000000028e+00,7.040000000000000036e+00
3.032999999999999918e+00,6.940000000000000391e+00
3.033999999999999808e+00,7.040000000000000036e+00
3.035000000000000142e+00,6.940000000000000391e+00
3.036000000000000032e+00,6.940000000000000391e+00
3.036999999999999922e+00,7.040000000000000036e+00
3.037999999999999812e+00,7.040000000000000036e+00
3.039000000000000146e+00,6.940000000000000391e+00
3.040000000000000036e+00,7.040000000000000036e+00
3.040999999999999925e+00,6.940000000000000391e+00
3.041999999999999815e+00,6.940000000000000391e+00
3.043000000000000149e+00,7.040000000000000036e+00
3.044000000000000039e+00,7.040000000000000036e+00
3.044999999999999929e+00,6.940000000000000391e+00
3.045999999999999819e+00,6.940000000000000391e+00
3.047000000000000153e+00,7.059999999999999609e+00
3.048000000000000043e+00,7.059999999999999609e+00
3.048999999999999932e+00,6.940000000000000391e+00
3.049999999999999822e+00,6.959999999999999964e+00
3.051000000000000156e+00,7.059999999999999609e+00
3.052000000000000046e+00,6.959999999999999964e+00
3.052999999999999936e+00,7.059999999999999609e+00
3.053999999999999826e+00,7.059999999999999609e+00
3.055000000000000160e+00,6.940000000000000391e+00
3.056000000000000050e+00,6.980000000000000426e+00
3.056999999999999940e+00,7.059999999999999609e+00
3.057999999999999829e+00,7.059999999999999609e+00
3.059000000000000163e+00,6.940000000000000391e+00
3.060000000000000053e+00,7.059999999999999609e+00
3.060999999999999943e+00,6.959999999999999964e+00
3.061999999999999833e+00,6.980000000000000426e+00
3.063000000000000167e+00,7.059999999999999609e+00
3.064000000000000057e+00,6.980000000000000426e+00
3.064999999999999947e+00,7.059999999999999609e+00
3.065999999999999837e+00,6.980000000000000426e+00
3.067000000000000171e+00,7.059999999999999609e+00
3.068000000000000060e+00,6.980000000000000426e+00
3.068999999999999950e+00,7.059999999999999609e+00
3.069999999999999840e+00,6.980000000000000426e+00
3.071000000000000174e+00,7.059999999999999609e+00
3.072000000000000064e+00,6.980000000000000426e+00
3.072999999999999954e+00,7.059999999999999609e+00
3.073999999999999844e+00,6.980000000000000426e+00
3.075000000000000178e+00,7.059999999999999609e+00
3.076000000000000068e+00,7.059999999999999609e+00
3.076999999999999957e+00,6.980000000000000426e+00
3.077999999999999847e+00,6.980000000000000426e+00
3.079000000000000181e+00,7.059999999999999609e+00
3.080000000000000071e+00,6.980000000000000426e+00
3.080999999999999961e+00,7.059999999999999609e+00
3.081999999999999851e+00,6.980000000000000426e+00
3.083000000000000185e+00,7.059999999999999609e+00
3.084000000000000075e+00,6.980000000000000426e+00
3.084999999999999964e+00,7.059999999999999609e+00
3.085999999999999854e+00,7.059999999999999609e+00
3.087000000000000188e+00,6.980000000000000426e+00
3.088000000000000078e+00,6.980000000000000426e+00
3.088999999999999968e+00,7.059999999999999609e+00
3.089999999999999858e+00,6.980000000000000426e+00
3.091000000000000192e+00,7.059999999999999609e+00
3.092000000000000082e+00,6.980000000000000426e+00
3.092999999999999972e+00,7.059999999999999609e+00
3.093999999999999861e+00,7.059999999999999609e+00
3.095000000000000195e+00,6.980000000000000426e+00
3.096000000000000085e+00,6.980000000000000426e+00
3.096999999999999975e+00,7.059999999999999609e+00
3.097999999999999865e+00,7.059999999999999609e+00
3.099000000000000199e+00,6.980000000000000426e+00
3.100000000000000089e+00,6.980000000000000426e+00
3.100999999999999979e+00,7.059999999999999609e+00
3.101999999999999869e+00,6.980000000000000426e+00
3.103000000000000203e+00,7.059999999999999609e+00
3.104000000000000092e+00,7.059999999999999609e+00
3.104999999999999982e+00,6.980000000000000426e+00
3.105999999999999872e+00,6.980000000000000426e+00
3.107000000000000206e+00,7.059999999999999609e+00
3.108000000000000096e+00,6.980000000000000426e+00
3.108999999999999986e+00,7.059999999999999609e+00
3.109999999999999876e+00,7.059999999999999609e+00
3.111000000000000210e+00,6.980000000000000426e+00
3.112000000000000099e+00,6.980000000000000426e+00
3.112999999999999989e+00,7.080000000000000071e+00
3.113999999999999879e+00,7.059999999999999609e+00
3.115000000000000213e+00,6.980000000000000426e+00
3.116000000000000103e+00,7.059999999999999609e+00
3.116999999999999993e+00,6.980000000000000426e+00
3.117999999999999883e+00,7.059999999999999609e+00
3.119000000000000217e+00,6.980000000000000426e+00
3.120000000000000107e+00,7.059999999999999609e+00
3.120999999999999996e+00,6.980000000000000426e+00
3.121999999999999886e+00,7.059999999999999609e+00
3.123000000000000220e+00,6.980000000000000426e+00
3.124000000000000110e+00,6.980000000000000426e+00
3.125000000000000000e+00,7.080000000000000071e+00
3.125999999999999890e+00,6.980000000000000426e+00
3.126999999999999780e+00,7.080000000000000071e+00
3.128000000000000114e+00,7.080000000000000071e+00
3.129000000000000004e+00,6.980000000000000426e+00
3.129999999999999893e+00,7.059999999999999609e+00
3.131000000000000227e+00,6.980000000000000426e+00
3.132000000000000117e+00,7.059999999999999609e+00
3.133000000000000007e+00,6.980000000000000426e+00
3.133999999999999897e+00,7.059999999999999609e+00
3.134999999999999787e+00,6.980000000000000426e+00
3.136000000000000121e+00,7.059999999999999609e+00
3.137000000000000011e+00,6.980000000000000426e+00
3.137999999999999901e+00,6.980000000000000426e+00
3.139000000000000234e+00,7.080000000000000071e+00
3.140000000000000124e+00,7.059999999999999609e+00
3.141000000000000014e+00,6.980000000000000426e+00
3.141999999999999904e+00,7.059999999999999609e+00
3.142999999999999794e+00,6.980000000000000426e+00
3.144000000000000128e+00,6.980000000000000426e+00
3.145000000000000018e+00,7.080000000000000071e+00
3.145999999999999908e+00,7.080000000000000071e+00
3.146999999999999797e+00,6.980000000000000426e+00
3.148000000000000131e+00,7.080000000000000071e+00
3.149000000000000021e+00,6.980000000000000426e+00
3.149999999999999911e+00,7.000000000000000000e+00
3.150999999999999801e+00,7.080000000000000071e+00
3.152000000000000135e+00,7.000000000000000000e+00
3.153000000000000025e+00,7.080000000000000071e+00
3.153999999999999915e+00,7.000000000000000000e+00
3.154999999999999805e+00,7.080000000000000071e+00
3.156000000000000139e+00,7.000000000000000000e+00
3.157000000000000028e+00,7.080000000000000071e+00
3.157999999999999918e+00,7.000000000000000000e+00
3.158999999999999808e+00,7.080000000000000071e+00
3.160000000000000142e+00,7.000000000000000000e+00
3.161000000000000032e+00,7.080000000000000071e+00
3.161999999999999922e+00,7.080000000000000071e+00
3.162999999999999812e+00,7.000000000000000000e+00
3.164000000000000146e+00,7.000000000000000000e+00
3.165000000000000036e+00,7.080000000000000071e+00
3.165999999999999925e+00,7.000000000000000000e+00
3.166999999999999815e+00,7.080000000000000071e+00
3.168000000000000149e+00,7.080000000000000071e+00
3.169000000000000039e+00,7.000000000000000000e+00
3.169999999999999929e+00,7.080000000000000071e+00
3.170999999999999819e+00,7.000000000000000000e+00
3.172000000000000153e+00,7.080000000000000071e+00
3.173000000000000043e+00,7.000000000000000000e+00
3.173999999999999932e+00,7.000000000000000000e+00
3.174999999999999822e+00,7.080000000000000071e+00
3.176000000000000156e+00,7.000000000000000000e+00
3.177000000000000046e+00,7.080000000000000071e+00
3.177999999999999936e+00,7.080000000000000071e+00
3.178999999999999826e+00,7.000000000000000000e+00
3.180000000000000160e+00,7.080000000000000071e+00
3.181000000000000050e+00,7.000000000000000000e+00
3.181999999999999940e+00,7.080000000000000071e+00
3.182999999999999829e+00,7.000000000000000000e+00
3.184000000000000163e+00,7.080000000000000071e+00
3.185000000000000053e+00,7.000000000000000000e+00
3.185999999999999943e+00,7.080000000000000071e+00
3.186999999999999833e+00,7.000000000000000000e+00
3.188000000000000167e+00,7.080000000000000071e+00
3.189000000000000057e+00,7.000000000000000000e+00
3.189999999999999947e+00,7.000000000000000000e+00
3.190999999999999837e+00,7.080000000000000071e+00
3.192000000000000171e+00,7.000000000000000000e+00
3.193000000000000060e+00,7.080000000000000071e+00
3.193999999999999950e+00,7.000000000000000000e+00
3.194999999999999840e+00,7.080000000000000071e+00
3.196000000000000174e+00,7.080000000000000071e+00
3.197000000000000064e+00,7.000000000000000000e+00
3.197999999999999954e+00,7.000000000000000000e+00
3.198999999999999844e+00,7.080000000000000071e+00
3.200000000000000178e+00,7.080000000000000071e+00
3.201000000000000068e+00,7.000000000000000000e+00
3.201999999999999957e+00,7.000000000000000000e+00
3.202999999999999847e+00,7.080000000000000071e+00
3.204000000000000181e+00,7.000000000000000000e+00
3.205000000000000071e+00,7.080000000000000071e+00
3.205999999999999961e+00,7.080000000000000071e+00
3.206999999999999851e+00,7.000000000000000000e+00
3.208000000000000185e+00,7.080000000000000071e+00
3.209000000000000075e+00,7.000000000000000000e+00
3.209999999999999964e+00,7.080000000000000071e+00
3.210999999999999854e+00,7.000000000000000000e+00
3.212000000000000188e+00,7.000000000000000000e+00
3.213000000000000078e+00,7.080000000000000071e+00
3.213999999999999968e+00,7.080000000000000071e+00
3.214999999999999858e+00,7.000000000000000000e+00
3.216000000000000192e+00,7.000000000000000000e+00
3.217000000000000082e+00,7.080000000000000071e+00
3.217999999999999972e+00,7.080000000000000071e+00
3.218999999999999861e+00,7.000000000000000000e+00
3.220000000000000195e+00,7.000000000000000000e+00
3.221000000000000085e+00,7.080000000000000071e+00
3.221999999999999975e+00,7.080000000000000071e+00
3.222999999999999865e+00,7.000000000000000000e+00
3.224000000000000199e+00,7.000000000000000000e+00
3.225000000000000089e+00,7.080000000000000071e+00
3.225999999999999979e+00,7.000000000000000000e+00
3.226999999999999869e+00,7.080000000000000071e+00
3.228000000000000203e+00,7.000000000000000000e+00
3.229000000000000092e+00,7.080000000000000071e+00
3.229999999999999982e+00,7.080000000000000071e+00
3.230999999999999872e+00,7.000000000000000000e+00
3.232000000000000206e+00,7.000000000000000000e+00
3.233000000000000096e+00,7.080000000000000071e+00
3.233999999999999986e+00,7.080000000000000071e+00
3.234999999999999876e+00,7.000000000000000000e+00
3.235999999999999766e+00,7.080000000000000071e+00
3.237000000000000099e+00,7.000000000000000000e+00
3.237999999999999989e+00,7.000000000000000000e+00
3.238999999999999879e+00,7.080000000000000071e+00
3.240000000000000213e+00,7.000000000000000000e+00
3.241000000000000103e+00,7.080000000000000071e+00
3.241999999999999993e+00,7.080000000000000071e+00
3.242999999999999883e+00,7.000000000000000000e+00
3.244000000000000217e+00,7.080000000000000071e+00
3.245000000000000107e+00,7.000000000000000000e+00
3.245999999999999996e+00,7.080000000000000071e+00
3.246999999999999886e+00,7.000000000000000000e+00
3.248000000000000220e+00,7.080000000000000071e+00
3.249000000000000110e+00,7.000000000000000000e+00
3.250000000000000000e+00,7.080000000000000071e+00
3.250999999999999890e+00,7.000000000000000000e+00
3.251999999999999780e+00,7.080000000000000071e+00
3.253000000000000114e+00,7.000000000000000000e+00
3.254000000000000004e+00,7.080000000000000071e+00
3.254999999999999893e+00,7.000000000000000000e+00
3.256000000000000227e+00,7.000000000000000000e+00
3.257000000000000117e+00,7.080000000000000071e+00
3.258000000000000007e+00,7.000000000000000000e+00
3.258999999999999897e+00,7.080000000000000071e+00
3.260000000000000231e+00,7.000000000000000000e+00
3.261000000000000121e+00,7.099999999999999645e+00
3.262000000000000011e+00,7.080000000000000071e+00
3.262999999999999901e+00,7.000000000000000000e+00
3.264000000000000234e+00,7.000000000000000000e+00
3.265000000000000124e+00,7.080000000000000071e+00
3.266000000000000014e+00,7.000000000000000000e+00
3.266999999999999904e+00,7.080000000000000071e+00
3.267999999999999794e+00,7.080000000000000071e+00
3.269000000000000128e+00,7.000000000000000000e+00
3.270000000000000018e+00,7.080000000000000071e+00
3.270999999999999908e+00,7.000000000000000000e+00
3.272000000000000242e+00,7.080000000000000071e+00
3.273000000000000131e+00,7.000000000000000000e+00
3.274000000000000021e+00,7.080000000000000071e+00
3.274999999999999911e+00,7.000000000000000000e+00
3.275999999999999801e+00,7.000000000000000000e+00
3.277000000000000135e+00,7.099999999999999645e+00
3.278000000000000025e+00,7.000000000000000000e+00
3.278999999999999915e+00,7.099999999999999645e+00
3.280000000000000249e+00,7.000000000000000000e+00
3.281000000000000139e+00,7.099999999999999645e+00
3.282000000000000028e+00,7.000000000000000000e+00
3.282999999999999918e+00,7.099999999999999645e+00
3.283999999999999808e+00,7.000000000000000000e+00
3.285000000000000142e+00,7.099999999999999645e+00
3.286000000000000032e+00,7.000000000000000000e+00
3.286999999999999922e+00,7.099999999999999645e+00
3.288000000000000256e+00,7.000000000000000000e+00
3.289000000000000146e+00,7.120000000000000107e+00
3.290000000000000036e+00,7.000000000000000000e+00
3.290999999999999925e+00,7.099999999999999645e+00
3.291999999999999815e+00,7.000000000000000000e+00
3.293000000000000149e+00,7.099999999999999645e+00
3.294000000000000039e+00,7.000000000000000000e+00
3.294999999999999929e+00,7.080000000000000071e+00
3.296000000000000263e+00,7.000000000000000000e+00
3.297000000000000153e+00,7.099999999999999645e+00
3.298000000000000043e+00,7.000000000000000000e+00
3.298999999999999932e+00,7.099999999999999645e+00
3.299999999999999822e+00,7.000000000000000000e+00
3.301000000000000156e+00,7.099999999999999645e+00
3.302000000000000046e+00,7.000000000000000000e+00
3.302999999999999936e+00,7.080000000000000071e+00
3.304000000000000270e+00,7.000000000000000000e+00
3.305000000000000160e+00,7.099999999999999645e+00
3.306000000000000050e+00,7.080000000000000071e+00
3.306999999999999940e+00,7.000000000000000000e+00
3.307999999999999829e+00,7.000000000000000000e+00
3.309000000000000163e+00,7.099999999999999645e+00
3.310000000000000053e+00,7.000000000000000000e+00
3.310999999999999943e+00,7.099999999999999645e+00
3.311999999999999833e+00,7.000000000000000000e+00
3.313000000000000167e+00,7.099999999999999645e+00
3.314000000000000057e+00,7.000000000000000000e+00
3.314999999999999947e+00,7.099999999999999645e+00
3.315999999999999837e+00,7.000000000000000000e+00
3.317000000000000171e+00,7.099999999999999645e+00
