f/MHz,AbsorbSpectrum
2.700000000000000178e+00,5.519999999999999574e+00
2.700200000000000156e+00,5.419999999999999929e+00
2.700400000000000134e+00,5.419999999999999929e+00
2.700600000000000112e+00,5.519999999999999574e+00
2.700800000000000090e+00,5.419999999999999929e+00
2.701000000000000068e+00,5.519999999999999574e+00
2.701200000000000045e+00,5.419999999999999929e+00
2.701400000000000023e+00,5.519999999999999574e+00
2.701600000000000001e+00,5.519999999999999574e+00
2.701799999999999979e+00,5.419999999999999929e+00
2.701999999999999957e+00,5.419999999999999929e+00
2.702200000000000379e+00,5.519999999999999574e+00
2.702400000000000357e+00,5.419999999999999929e+00
2.702600000000000335e+00,5.519999999999999574e+00
2.702800000000000313e+00,5.419999999999999929e+00
2.703000000000000291e+00,5.519999999999999574e+00
2.703200000000000269e+00,5.419999999999999929e+00
2.703400000000000247e+00,5.540000000000000036e+00
2.703600000000000225e+00,5.440000000000000391e+00
2.703800000000000203e+00,5.540000000000000036e+00
2.704000000000000181e+00,5.440000000000000391e+00
2.704200000000000159e+00,5.540000000000000036e+00
2.704400000000000137e+00,5.540000000000000036e+00
2.704600000000000115e+00,5.440000000000000391e+00
2.704800000000000093e+00,5.440000000000000391e+00
2.705000000000000071e+00,5.540000000000000036e+00
2.705200000000000049e+00,5.540000000000000036e+00
2.705400000000000027e+00,5.440000000000000391e+00
2.705600000000000005e+00,5.440000000000000391e+00
2.705799999999999983e+00,5.540000000000000036e+00
2.705999999999999961e+00,5.540000000000000036e+00
2.706200000000000383e+00,5.440000000000000391e+00
2.706400000000000361e+00,5.540000000000000036e+00
2.706600000000000339e+00,5.440000000000000391e+00
2.706800000000000317e+00,5.440000000000000391e+00
2.707000000000000295e+00,5.540000000000000036e+00
2.707200000000000273e+00,5.540000000000000036e+00
2.707400000000000251e+00,5.440000000000000391e+00
2.707600000000000229e+00,5.440000000000000391e+00
2.707800000000000207e+00,5.540000000000000036e+00
2.708000000000000185e+00,5.540000000000000036e+00
2.708200000000000163e+00,5.440000000000000391e+00
2.708400000000000141e+00,5.540000000000000036e+00
2.708600000000000119e+00,5.440000000000000391e+00
2.708800000000000097e+00,5.540000000000000036e+00
2.709000000000000075e+00,5.440000000000000391e+00
2.709200000000000053e+00,5.540000000000000036e+00
2.709400000000000031e+00,5.440000000000000391e+00
2.709600000000000009e+00,5.540000000000000036e+00
2.709799999999999986e+00,5.440000000000000391e+00
2.709999999999999964e+00,5.440000000000000391e+00
2.710200000000000387e+00,5.540000000000000036e+00
2.710400000000000365e+00,5.540000000000000036e+00
2.710600000000000342e+00,5.459999999999999964e+00
